DeliveryDate,WeekNumber,CategoryId,RetailerId,Sold
2021-03-01,9,0,A5E1D39C-8CEB-4AC3-8A52-AD5E89AF9454,2.0
2021-03-02,9,0,A5E1D39C-8CEB-4AC3-8A52-AD5E89AF9454,2.0
2021-03-03,9,0,A5E1D39C-8CEB-4AC3-8A52-AD5E89AF9454,4.0
2021-03-04,9,0,A5E1D39C-8CEB-4AC3-8A52-AD5E89AF9454,0.0
2021-03-05,9,0,A5E1D39C-8CEB-4AC3-8A52-AD5E89AF9454,0.0
2021-03-07,9,0,A5E1D39C-8CEB-4AC3-8A52-AD5E89AF9454,2.0
2021-03-08,10,0,A5E1D39C-8CEB-4AC3-8A52-AD5E89AF9454,0.0
2021-03-09,10,0,A5E1D39C-8CEB-4AC3-8A52-AD5E89AF9454,0.0
2021-03-10,10,0,A5E1D39C-8CEB-4AC3-8A52-AD5E89AF9454,3.0
2021-03-11,10,0,A5E1D39C-8CEB-4AC3-8A52-AD5E89AF9454,0.0
2021-03-12,10,0,A5E1D39C-8CEB-4AC3-8A52-AD5E89AF9454,0.0
2021-03-13,10,0,A5E1D39C-8CEB-4AC3-8A52-AD5E89AF9454,0.0
2021-03-14,10,0,A5E1D39C-8CEB-4AC3-8A52-AD5E89AF9454,0.0
2021-03-15,11,0,A5E1D39C-8CEB-4AC3-8A52-AD5E89AF9454,0.0
2021-03-16,11,0,A5E1D39C-8CEB-4AC3-8A52-AD5E89AF9454,4.0
2021-03-17,11,0,A5E1D39C-8CEB-4AC3-8A52-AD5E89AF9454,0.0
2021-03-18,11,0,A5E1D39C-8CEB-4AC3-8A52-AD5E89AF9454,4.0
2021-03-19,11,0,A5E1D39C-8CEB-4AC3-8A52-AD5E89AF9454,0.0
2021-03-20,11,0,A5E1D39C-8CEB-4AC3-8A52-AD5E89AF9454,7.0
2021-03-21,11,0,A5E1D39C-8CEB-4AC3-8A52-AD5E89AF9454,
2021-03-01,9,1,A5E1D39C-8CEB-4AC3-8A52-AD5E89AF9454,10.0
2021-03-02,9,1,A5E1D39C-8CEB-4AC3-8A52-AD5E89AF9454,7.0
2021-03-03,9,1,A5E1D39C-8CEB-4AC3-8A52-AD5E89AF9454,13.0
2021-03-04,9,1,A5E1D39C-8CEB-4AC3-8A52-AD5E89AF9454,5.0
2021-03-05,9,1,A5E1D39C-8CEB-4AC3-8A52-AD5E89AF9454,14.0
2021-03-07,9,1,A5E1D39C-8CEB-4AC3-8A52-AD5E89AF9454,19.0
2021-03-08,10,1,A5E1D39C-8CEB-4AC3-8A52-AD5E89AF9454,19.0
2021-03-09,10,1,A5E1D39C-8CEB-4AC3-8A52-AD5E89AF9454,11.0
2021-03-10,10,1,A5E1D39C-8CEB-4AC3-8A52-AD5E89AF9454,16.0
2021-03-11,10,1,A5E1D39C-8CEB-4AC3-8A52-AD5E89AF9454,15.0
2021-03-12,10,1,A5E1D39C-8CEB-4AC3-8A52-AD5E89AF9454,8.0
2021-03-13,10,1,A5E1D39C-8CEB-4AC3-8A52-AD5E89AF9454,18.0
2021-03-14,10,1,A5E1D39C-8CEB-4AC3-8A52-AD5E89AF9454,9.0
2021-03-15,11,1,A5E1D39C-8CEB-4AC3-8A52-AD5E89AF9454,7.0
2021-03-16,11,1,A5E1D39C-8CEB-4AC3-8A52-AD5E89AF9454,9.0
2021-03-17,11,1,A5E1D39C-8CEB-4AC3-8A52-AD5E89AF9454,13.0
2021-03-18,11,1,A5E1D39C-8CEB-4AC3-8A52-AD5E89AF9454,21.0
2021-03-19,11,1,A5E1D39C-8CEB-4AC3-8A52-AD5E89AF9454,16.0
2021-03-20,11,1,A5E1D39C-8CEB-4AC3-8A52-AD5E89AF9454,15.0
2021-03-21,11,1,A5E1D39C-8CEB-4AC3-8A52-AD5E89AF9454,
2021-03-01,9,1,5D65A336-F7B4-434A-95C2-8E916961B688,61.0
2021-03-02,9,1,5D65A336-F7B4-434A-95C2-8E916961B688,62.0
